Subject,Start Time,End Time,Description
[TikTok] Office Hours,2023-01-05 12:00:00-05:00,2023-01-05 12:55:00-05:00,"Hi All,<br><br>You are all invited to attend <i>TikTok Office Hours</i>! This is a safe space for everyone and anyone to share any observations that they've noticed on the platform, ask questions, and even brainstorm - so come join the party at the Zoom link below and let's talk about all things Tok-related.<br><br><i>Join Zoom Meeting:&nbsp;</i><a href=""https://vaynerx.zoom.us/j/8491633269"" id=""ow4872"" __is_owner=""true""><u><u><u><b>https://vaynerx.zoom.us/j/8491633269</b></u></u></u></a><br>__<span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><br><b><i>AGENDA:</i></b><br><ul><li><i>:30 minutes</i> | All Things TikTok: observations, Q&amp;A, brainstorming, etc..<ul><li>An open floor for anybody to ask questions, brainstorm with the group, share wins, and state any observations that are happening on the platform.&nbsp;</li></ul></li><li><i>:30 minutes</i>&nbsp;| TikTok Trends<ul><li>Pull out your phones and get ready to share the<i>TRENDS</i>&nbsp;that you have been seeing on the platform.&nbsp;<ul><li><i>Remember:</i>&nbsp;What <b>I</b>&nbsp;see on my FYP will be different from what <b>you</b>&nbsp;see on your FYP - so let's share!</li></ul></li></ul></li></ul><br><b><i>MATERIALS:</i></b><br><ul><li><a href=""https://docs.google.com/document/d/1Jz4UbTVaiSpoScrBovwtr0SCif0YB9Ffhy6yyGrdwWs/edit?pli=1"" id=""ow4876"" __is_owner=""true"">TikTok Trends doc</a></li><li><a href=""https://drive.google.com/drive/folders/1rHh9kahxtPhFXCs8Xy1DxGv9ocEal6Ra?usp=share_link"" id=""ow4923"" __is_owner=""true"">Archive of past office hours recordings</a></li><li><a href=""https://drive.google.com/drive/folders/1lI7K_pWUWOyaICI4L_U59q20kQB2c_mr?usp=share_link"" id=""ow4899"" __is_owner=""true"">TikTok Drive</a></li></ul><br>If there are any questions/topics that were not discussed during office hours, submit a ticket to Partnerships [<a href=""https://docs.google.com/forms/d/e/1FAIpQLSfWUhFZgXBzSk-X5ZvQhlfDXVZK07RBukK6xifFaqqMwEFodQ/viewform"" id=""ow4949"" __is_owner=""true"">here</a>] and we'll get back to you (:<br><br>See you soon! Love,<br>Partnerships"
[TikTok] Office Hours,2023-01-05 12:00:00-05:00,2023-01-05 12:55:00-05:00,"Hi All,<br><br>You are all invited to attend <i>TikTok Office Hours</i>! This is a safe space for everyone and anyone to share any observations that they've noticed on the platform, ask questions, and even brainstorm - so come join the party at the Zoom link below and let's talk about all things Tok-related.<br><br><i>Join Zoom Meeting:&nbsp;</i><a href=""https://vaynerx.zoom.us/j/8491633269"" id=""ow4872"" __is_owner=""true""><u><u><u><b>https://vaynerx.zoom.us/j/8491633269</b></u></u></u></a><br>__<span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><br><b><i>AGENDA:</i></b><br><ul><li><i>:30 minutes</i> | All Things TikTok: observations, Q&amp;A, brainstorming, etc..<ul><li>An open floor for anybody to ask questions, brainstorm with the group, share wins, and state any observations that are happening on the platform.&nbsp;</li></ul></li><li><i>:30 minutes</i>&nbsp;| TikTok Trends<ul><li>Pull out your phones and get ready to share the<i>TRENDS</i>&nbsp;that you have been seeing on the platform.&nbsp;<ul><li><i>Remember:</i>&nbsp;What <b>I</b>&nbsp;see on my FYP will be different from what <b>you</b>&nbsp;see on your FYP - so let's share!</li></ul></li></ul></li></ul><br><b><i>MATERIALS:</i></b><br><ul><li><a href=""https://docs.google.com/document/d/1Jz4UbTVaiSpoScrBovwtr0SCif0YB9Ffhy6yyGrdwWs/edit?pli=1"" id=""ow4876"" __is_owner=""true"">TikTok Trends doc</a></li><li><a href=""https://drive.google.com/drive/folders/1rHh9kahxtPhFXCs8Xy1DxGv9ocEal6Ra?usp=share_link"" id=""ow4923"" __is_owner=""true"">Archive of past office hours recordings</a></li><li><a href=""https://drive.google.com/drive/folders/1lI7K_pWUWOyaICI4L_U59q20kQB2c_mr?usp=share_link"" id=""ow4899"" __is_owner=""true"">TikTok Drive</a></li></ul><br>If there are any questions/topics that were not discussed during office hours, submit a ticket to Partnerships [<a href=""https://docs.google.com/forms/d/e/1FAIpQLSfWUhFZgXBzSk-X5ZvQhlfDXVZK07RBukK6xifFaqqMwEFodQ/viewform"" id=""ow4949"" __is_owner=""true"">here</a>] and we'll get back to you (:<br><br>See you soon! Love,<br>Partnerships"
[TikTok] Office Hours,2023-01-12 12:00:00-05:00,2023-01-12 12:55:00-05:00,"Hi All,<br><br>You are all invited to attend <i>TikTok Office Hours</i>! This is a safe space for everyone and anyone to share any observations that they've noticed on the platform, ask questions, and even brainstorm - so come join the party at the Zoom link below and let's talk about all things Tok-related.<br><br><i>Join Zoom Meeting:&nbsp;</i><a href=""https://vaynerx.zoom.us/j/8491633269"" id=""ow4872"" __is_owner=""true""><u><u><u><b>https://vaynerx.zoom.us/j/8491633269</b></u></u></u></a><br>__<span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><br><b><i>AGENDA:</i></b><br><ul><li><i>:30 minutes</i> | All Things TikTok: observations, Q&amp;A, brainstorming, etc..<ul><li>An open floor for anybody to ask questions, brainstorm with the group, share wins, and state any observations that are happening on the platform.&nbsp;</li></ul></li><li><i>:30 minutes</i>&nbsp;| TikTok Trends<ul><li>Pull out your phones and get ready to share the<i>TRENDS</i>&nbsp;that you have been seeing on the platform.&nbsp;<ul><li><i>Remember:</i>&nbsp;What <b>I</b>&nbsp;see on my FYP will be different from what <b>you</b>&nbsp;see on your FYP - so let's share!</li></ul></li></ul></li></ul><br><b><i>MATERIALS:</i></b><br><ul><li><a href=""https://docs.google.com/document/d/1Jz4UbTVaiSpoScrBovwtr0SCif0YB9Ffhy6yyGrdwWs/edit?pli=1"" id=""ow4876"" __is_owner=""true"">TikTok Trends doc</a></li><li><a href=""https://drive.google.com/drive/folders/1rHh9kahxtPhFXCs8Xy1DxGv9ocEal6Ra?usp=share_link"" id=""ow4923"" __is_owner=""true"">Archive of past office hours recordings</a></li><li><a href=""https://drive.google.com/drive/folders/1lI7K_pWUWOyaICI4L_U59q20kQB2c_mr?usp=share_link"" id=""ow4899"" __is_owner=""true"">TikTok Drive</a></li></ul><br>If there are any questions/topics that were not discussed during office hours, submit a ticket to Partnerships [<a href=""https://docs.google.com/forms/d/e/1FAIpQLSfWUhFZgXBzSk-X5ZvQhlfDXVZK07RBukK6xifFaqqMwEFodQ/viewform"" id=""ow4949"" __is_owner=""true"">here</a>] and we'll get back to you (:<br><br>See you soon! Love,<br>Partnerships"
[TikTok] Office Hours,2023-01-18 12:00:00-05:00,2023-01-18 12:55:00-05:00,"Hi All,<br><br>You are all invited to attend <i>TikTok Office Hours</i>! This is a safe space for everyone and anyone to share any observations that they've noticed on the platform, ask questions, and even brainstorm - so come join the party at the Zoom link below and let's talk about all things Tok-related.<br><br><i>Join Zoom Meeting:&nbsp;</i><a href=""https://vaynerx.zoom.us/j/8491633269"" id=""ow4872"" __is_owner=""true""><u><u><u><b>https://vaynerx.zoom.us/j/8491633269</b></u></u></u></a><br>__<span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><br><b><i>AGENDA:</i></b><br><ul><li><i>:30 minutes</i> | All Things TikTok: observations, Q&amp;A, brainstorming, etc..<ul><li>An open floor for anybody to ask questions, brainstorm with the group, share wins, and state any observations that are happening on the platform.&nbsp;</li></ul></li><li><i>:30 minutes</i>&nbsp;| TikTok Trends<ul><li>Pull out your phones and get ready to share the<i>TRENDS</i>&nbsp;that you have been seeing on the platform.&nbsp;<ul><li><i>Remember:</i>&nbsp;What <b>I</b>&nbsp;see on my FYP will be different from what <b>you</b>&nbsp;see on your FYP - so let's share!</li></ul></li></ul></li></ul><br><b><i>MATERIALS:</i></b><br><ul><li><a href=""https://docs.google.com/document/d/1Jz4UbTVaiSpoScrBovwtr0SCif0YB9Ffhy6yyGrdwWs/edit?pli=1"" id=""ow4876"" __is_owner=""true"">TikTok Trends doc</a></li><li><a href=""https://drive.google.com/drive/folders/1rHh9kahxtPhFXCs8Xy1DxGv9ocEal6Ra?usp=share_link"" id=""ow4923"" __is_owner=""true"">Archive of past office hours recordings</a></li><li><a href=""https://drive.google.com/drive/folders/1lI7K_pWUWOyaICI4L_U59q20kQB2c_mr?usp=share_link"" id=""ow4899"" __is_owner=""true"">TikTok Drive</a></li></ul><br>If there are any questions/topics that were not discussed during office hours, submit a ticket to Partnerships [<a href=""https://docs.google.com/forms/d/e/1FAIpQLSfWUhFZgXBzSk-X5ZvQhlfDXVZK07RBukK6xifFaqqMwEFodQ/viewform"" id=""ow4949"" __is_owner=""true"">here</a>] and we'll get back to you (:<br><br>See you soon! Love,<br>Partnerships"
[TikTok] Office Hours,2023-01-26 12:00:00-05:00,2023-01-26 12:55:00-05:00,"Hi All,<br><br>You are all invited to attend <i>TikTok Office Hours</i>! This is a safe space for everyone and anyone to share any observations that they've noticed on the platform, ask questions, and even brainstorm - so come join the party at the Zoom link below and let's talk about all things Tok-related.<br><br><i>Join Zoom Meeting:&nbsp;</i><a href=""https://vaynerx.zoom.us/j/8491633269"" id=""ow4872"" __is_owner=""true""><u><u><u><b>https://vaynerx.zoom.us/j/8491633269</b></u></u></u></a><br>__<span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><br><b><i>AGENDA:</i></b><br><ul><li><i>:30 minutes</i> | All Things TikTok: observations, Q&amp;A, brainstorming, etc..<ul><li>An open floor for anybody to ask questions, brainstorm with the group, share wins, and state any observations that are happening on the platform.&nbsp;</li></ul></li><li><i>:30 minutes</i>&nbsp;| TikTok Trends<ul><li>Pull out your phones and get ready to share the<i>TRENDS</i>&nbsp;that you have been seeing on the platform.&nbsp;<ul><li><i>Remember:</i>&nbsp;What <b>I</b>&nbsp;see on my FYP will be different from what <b>you</b>&nbsp;see on your FYP - so let's share!</li></ul></li></ul></li></ul><br><b><i>MATERIALS:</i></b><br><ul><li><a href=""https://docs.google.com/document/d/1Jz4UbTVaiSpoScrBovwtr0SCif0YB9Ffhy6yyGrdwWs/edit?pli=1"" id=""ow4876"" __is_owner=""true"">TikTok Trends doc</a></li><li><a href=""https://drive.google.com/drive/folders/1rHh9kahxtPhFXCs8Xy1DxGv9ocEal6Ra?usp=share_link"" id=""ow4923"" __is_owner=""true"">Archive of past office hours recordings</a></li><li><a href=""https://drive.google.com/drive/folders/1lI7K_pWUWOyaICI4L_U59q20kQB2c_mr?usp=share_link"" id=""ow4899"" __is_owner=""true"">TikTok Drive</a></li></ul><br>If there are any questions/topics that were not discussed during office hours, submit a ticket to Partnerships [<a href=""https://docs.google.com/forms/d/e/1FAIpQLSfWUhFZgXBzSk-X5ZvQhlfDXVZK07RBukK6xifFaqqMwEFodQ/viewform"" id=""ow4949"" __is_owner=""true"">here</a>] and we'll get back to you (:<br><br>See you soon! Love,<br>Partnerships"
[TikTok] Office Hours,2023-01-12 12:00:00-05:00,2023-01-12 12:55:00-05:00,"Hi All,<br><br>You are all invited to attend <i>TikTok Office Hours</i>! This is a safe space for everyone and anyone to share any observations that they've noticed on the platform, ask questions, and even brainstorm - so come join the party at the Zoom link below and let's talk about all things Tok-related.<br><br><i>Join Zoom Meeting:&nbsp;</i><a href=""https://vaynerx.zoom.us/j/8491633269"" id=""ow4872"" __is_owner=""true""><u><u><u><b>https://vaynerx.zoom.us/j/8491633269</b></u></u></u></a><br>__<span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><br><b><i>AGENDA:</i></b><br><ul><li><i>:30 minutes</i> | All Things TikTok: observations, Q&amp;A, brainstorming, etc..<ul><li>An open floor for anybody to ask questions, brainstorm with the group, share wins, and state any observations that are happening on the platform.&nbsp;</li></ul></li><li><i>:30 minutes</i>&nbsp;| TikTok Trends<ul><li>Pull out your phones and get ready to share the<i>TRENDS</i>&nbsp;that you have been seeing on the platform.&nbsp;<ul><li><i>Remember:</i>&nbsp;What <b>I</b>&nbsp;see on my FYP will be different from what <b>you</b>&nbsp;see on your FYP - so let's share!</li></ul></li></ul></li></ul><br><b><i>MATERIALS:</i></b><br><ul><li><a href=""https://docs.google.com/document/d/1Jz4UbTVaiSpoScrBovwtr0SCif0YB9Ffhy6yyGrdwWs/edit?pli=1"" id=""ow4876"" __is_owner=""true"">TikTok Trends doc</a></li><li><a href=""https://drive.google.com/drive/folders/1rHh9kahxtPhFXCs8Xy1DxGv9ocEal6Ra?usp=share_link"" id=""ow4923"" __is_owner=""true"">Archive of past office hours recordings</a></li><li><a href=""https://drive.google.com/drive/folders/1lI7K_pWUWOyaICI4L_U59q20kQB2c_mr?usp=share_link"" id=""ow4899"" __is_owner=""true"">TikTok Drive</a></li></ul><br>If there are any questions/topics that were not discussed during office hours, submit a ticket to Partnerships [<a href=""https://docs.google.com/forms/d/e/1FAIpQLSfWUhFZgXBzSk-X5ZvQhlfDXVZK07RBukK6xifFaqqMwEFodQ/viewform"" id=""ow4949"" __is_owner=""true"">here</a>] and we'll get back to you (:<br><br>See you soon! Love,<br>Partnerships"
[TikTok] Office Hours,2023-01-19 12:00:00-05:00,2023-01-19 12:55:00-05:00,"Hi All,<br><br>You are all invited to attend <i>TikTok Office Hours</i>! This is a safe space for everyone and anyone to share any observations that they've noticed on the platform, ask questions, and even brainstorm - so come join the party at the Zoom link below and let's talk about all things Tok-related.<br><br><i>Join Zoom Meeting:&nbsp;</i><a href=""https://vaynerx.zoom.us/j/8491633269"" id=""ow4872"" __is_owner=""true""><u><u><u><b>https://vaynerx.zoom.us/j/8491633269</b></u></u></u></a><br>__<span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><br><b><i>AGENDA:</i></b><br><ul><li><i>:30 minutes</i> | All Things TikTok: observations, Q&amp;A, brainstorming, etc..<ul><li>An open floor for anybody to ask questions, brainstorm with the group, share wins, and state any observations that are happening on the platform.&nbsp;</li></ul></li><li><i>:30 minutes</i>&nbsp;| TikTok Trends<ul><li>Pull out your phones and get ready to share the<i>TRENDS</i>&nbsp;that you have been seeing on the platform.&nbsp;<ul><li><i>Remember:</i>&nbsp;What <b>I</b>&nbsp;see on my FYP will be different from what <b>you</b>&nbsp;see on your FYP - so let's share!</li></ul></li></ul></li></ul><br><b><i>MATERIALS:</i></b><br><ul><li><a href=""https://docs.google.com/document/d/1Jz4UbTVaiSpoScrBovwtr0SCif0YB9Ffhy6yyGrdwWs/edit?pli=1"" id=""ow4876"" __is_owner=""true"">TikTok Trends doc</a></li><li><a href=""https://drive.google.com/drive/folders/1rHh9kahxtPhFXCs8Xy1DxGv9ocEal6Ra?usp=share_link"" id=""ow4923"" __is_owner=""true"">Archive of past office hours recordings</a></li><li><a href=""https://drive.google.com/drive/folders/1lI7K_pWUWOyaICI4L_U59q20kQB2c_mr?usp=share_link"" id=""ow4899"" __is_owner=""true"">TikTok Drive</a></li></ul><br>If there are any questions/topics that were not discussed during office hours, submit a ticket to Partnerships [<a href=""https://docs.google.com/forms/d/e/1FAIpQLSfWUhFZgXBzSk-X5ZvQhlfDXVZK07RBukK6xifFaqqMwEFodQ/viewform"" id=""ow4949"" __is_owner=""true"">here</a>] and we'll get back to you (:<br><br>See you soon! Love,<br>Partnerships"
[TikTok] Office Hours,2023-01-26 12:00:00-05:00,2023-01-26 12:55:00-05:00,"Hi All,<br><br>You are all invited to attend <i>TikTok Office Hours</i>! This is a safe space for everyone and anyone to share any observations that they've noticed on the platform, ask questions, and even brainstorm - so come join the party at the Zoom link below and let's talk about all things Tok-related.<br><br><i>Join Zoom Meeting:&nbsp;</i><a href=""https://vaynerx.zoom.us/j/8491633269"" id=""ow4872"" __is_owner=""true""><u><u><u><b>https://vaynerx.zoom.us/j/8491633269</b></u></u></u></a><br>__<span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><span style=""background-color: var(--textfield-surface); color: var(--on-surface);"">___________________________</span><br><b><i>AGENDA:</i></b><br><ul><li><i>:30 minutes</i> | All Things TikTok: observations, Q&amp;A, brainstorming, etc..<ul><li>An open floor for anybody to ask questions, brainstorm with the group, share wins, and state any observations that are happening on the platform.&nbsp;</li></ul></li><li><i>:30 minutes</i>&nbsp;| TikTok Trends<ul><li>Pull out your phones and get ready to share the<i>TRENDS</i>&nbsp;that you have been seeing on the platform.&nbsp;<ul><li><i>Remember:</i>&nbsp;What <b>I</b>&nbsp;see on my FYP will be different from what <b>you</b>&nbsp;see on your FYP - so let's share!</li></ul></li></ul></li></ul><br><b><i>MATERIALS:</i></b><br><ul><li><a href=""https://docs.google.com/document/d/1Jz4UbTVaiSpoScrBovwtr0SCif0YB9Ffhy6yyGrdwWs/edit?pli=1"" id=""ow4876"" __is_owner=""true"">TikTok Trends doc</a></li><li><a href=""https://drive.google.com/drive/folders/1rHh9kahxtPhFXCs8Xy1DxGv9ocEal6Ra?usp=share_link"" id=""ow4923"" __is_owner=""true"">Archive of past office hours recordings</a></li><li><a href=""https://drive.google.com/drive/folders/1lI7K_pWUWOyaICI4L_U59q20kQB2c_mr?usp=share_link"" id=""ow4899"" __is_owner=""true"">TikTok Drive</a></li></ul><br>If there are any questions/topics that were not discussed during office hours, submit a ticket to Partnerships [<a href=""https://docs.google.com/forms/d/e/1FAIpQLSfWUhFZgXBzSk-X5ZvQhlfDXVZK07RBukK6xifFaqqMwEFodQ/viewform"" id=""ow4949"" __is_owner=""true"">here</a>] and we'll get back to you (:<br><br>See you soon! Love,<br>Partnerships"
Home,2023-02-10,2023-02-11,
Home,2023-02-08,2023-02-09,
